address,amount0,amount1,amount2,amount3,amount4,amount5
0x93fD02E84Dc6911e6178B71AA46Bd0B5EB73bC12,1,1,31954183,95862551,1,1
0x648CC58908fDd4E5bd2b7443A1EF6312ea1B4a09,1,1,31664984,94994954,1,1
0xa8c9E152893773CBD070B7B35afEc243ad52612C,1,1,31380165,94140497,1,1
0xdF16D68A9971A7775846e301A07B79767F967B00,1,1,31142802,93428406,1,1
0x3dfDBcA41D2f229d380f002ECb1dA6ab6DE09e7a,1,1,30918660,92755981,1,1
0x231994dD44F0adb6D916Fd646264482E775cCeeA,1,1,30714982,92144946,1,1
0x472Ed996C6B8eeE321f3C4EC8Ed4bFd91e81B2Bd,1,1,30480938,91442815,1,1
0x4194bCb6164B178B557E143ab72cE685105B4588,1,1,30258804,90776412,1,1
0x1B47dF0dfc63ECc1e5C969A1164F4fA046c6F610,1,1,30167067,90501201,1,1
0xf44e756c78d721C455e0661c350BfEF4DEac43cc,1,1,29965131,89895393,1,1
0x980da0228A9B08888b74dB0e805DD85095fc7fdb,1,1,29413990,88241971,1,1
0xc3874920984a62701b58D41a8CC0eD822De2F503,1,1,29159783,87479351,1,1
0x32F0cF9d3657b530de2a276D0850d19D73F7Af05,1,1,28680817,86042452,1,1
0x8f73CBc7D3DaaAbd89Fb1DBc0631541A579d654e,1,1,28006903,84020709,1,1
0xEd3344E395dB9D21A27b94A96FefCbeD2797653A,1,1,26143543,78430631,1,1
0x84Ca849d51b2ce29d83f7F8baa445443215D40f5,1,1,25996009,77988029,1,1
0x6Ad792CD9649988703344753de874f4957B6bF2f,1,1,25384627,76153881,1,1
0x856375b7db32AF60cF2d19aBE208E4619E529700,1,1,25148116,75444350,1,1
0xEe37f0253ed8637Db06ee32B9abedD5C37ef5d06,1,1,24883200,74649600,1,1
0x3651e7e39be88698a278e644dF0696ACDaBE1DfB,1,1,24865799,74597399,1,1
0x259f754Bf99164ac89c52529B6aeE165a23F0531,1,1,24497756,73493269,1,1
0x7Ee42458c1327BD80F1b608BC3F0dc553892c739,1,1,24209876,72629628,1,1
0x68D105605CD6427a27F3cD19e1f0893539e528e7,1,1,23576741,70730223,1,1
0xCA37E060c04594E416D12398aeA1e5E269776390,1,1,23264859,69794579,1,1
0xf0931376D7d367393F24200a0Ed6EbC02CA5223D,1,1,23118997,69356992,1,1
0xF37955134Dda37eaC7380f5eb42bce10796bD224,1,1,23095679,69287037,1,1
0x2162d991F68Cb0991A1b726DA341c04E128db3CB,1,1,23003818,69011454,1,1
0x6ad9d8B48E9685Ca4764da982E256A3eF1d086c0,1,1,23000715,69002147,1,1
0x83a70291b2838FB2cBa346ee307bEdb51529ab4D,1,1,22950211,68850633,1,1
0x6F54510F06F3b9c95AD36d76F27CfbF57BEBe889,1,1,22699095,68097286,1,1
0x26085e33fc513cDdb25A86117C39163a662eC729,1,1,21737024,65211072,1,1
0x40BAFA4C2665b6F03E9eB078043a42230D762240,1,1,21643438,64930315,1,1
0x3342ecCBe5Fb760fcE9a8Ac3CeA48542D44bfc70,1,1,21298372,63895116,1,1
0x743429b3463253C7A027Ba413CB2fEC3e255fDA0,1,1,21047556,63142669,1,1
0x9a503f94feFFf39eD456c617cd042136B15F5CEF,1,1,20974804,62924414,1,1
0x1CeADdaEe6d55a6b611FcC900F746fDd73d9a751,1,1,20854274,62562823,1,1
0x9c2B84Fb6bd78a837e690FD03eEC5FBD46540624,1,1,20536541,61609623,1,1
0x9a0C98756A7897a59Aa6fa757b433cF426ec9295,1,1,19727296,59181889,1,1
0xcDb4Ad5B671770aba89dc1B9044d48515f2183aF,1,1,19664953,58994859,1,1
0x47483Fb1dBe24fD632b9460BF30d89e6992A7eB9,1,1,19333197,57999591,1,1
0xE4B6D7f58966230685E8Cb30fB0653A56F151a8D,1,1,19229014,57687044,1,1
0x048C785b46eeE9089018417De263c51e826E43bE,1,1,19212619,57637858,1,1
0x65b0cA787Dcf9Aa2D5e0aB93eAF836424Ef16E83,1,1,18838689,56516067,1,1
0xe444CFA955f4F9b8b83c553a371aA7BC4d8A0670,1,1,18321092,54963276,1,1
0x040B2F7639a343e08A0b8419E32eD9FeF130e483,1,1,17642003,52926009,1,1
0xA83f0B724a3aa3a644e82047e00C5Ff0C3d5Ab9E,1,1,17417225,52251677,1,1
0x2c5bEa9Db82229Fc80E5C1879bBdE98ADe2207Ad,1,1,16943534,50830602,1,1
0xf9808CCA15860E92bd6098Db6494b3b1e1a45344,1,1,16876769,50630309,1,1
0x7B89E7220ecFf46953A7229fa36f303528f0A036,1,1,16843661,50530983,1,1
0x4CbA6a331556b5188EEeE592654CD1E49da4D6d4,1,1,16821408,50464225,1,1
0x8C6Fc075C2cE6EC585A8580e06e1666c4CDB6Cc4,1,1,16610371,49831113,1,1
0xFC06cE69682a74bAb03A2e5648ABc48647035697,1,1,16457273,49371821,1,1
0xab41d4ED45ceBF1830452f5B0e2B759E899342eb,1,1,16283784,48851352,1,1
0xa9d1A67380196F4C2aE5001d614d9a9EAefaf64e,1,1,16266623,48799870,1,1
0x4878DF85872311EDA04bAD21e9675ff16F2F501D,1,1,16175398,48526195,1,1
0xA9a3C925741FbC8DE031cA07F64a58F83C7AA429,1,1,15912655,47737967,1,1
0x28a20F6669De8A8cb53942e66a82b15574e79c5a,1,1,15878275,47634827,1,1
0x3E784Af8DB32835dd44F5E01A1aB25801F1E625e,1,1,15443349,46330049,1,1
0x000823dB10fdbd0693D22Eb30AC919503f7DB765,1,1,15330443,45991329,1,1
0x7e267911b83400587d042E5c37adC8Ec15deCAe5,1,1,15326463,45979390,1,1
0x2621DC7299D905b115958564742A62F8475da003,1,1,15263496,45790488,1,1
0x6354Ce154929a95e3FAAbd92db66f6faFd9B3Fb9,1,1,15184810,45554431,1,1
0xaf77D7fca09eFDA261534cEFb7d3022B3e853366,1,1,15114702,45344106,1,1
0x13ccfaC101f88ac5dC942aAb90B28dCc7D45FDAB,1,1,14769559,44308677,1,1
0x67241841Bb07254D0EA64dF1ECB94c8aB45F13e2,1,1,14676432,44029298,1,1
0x01CBa1BD14E4B6803e91223a65DD9993DbCe1b95,1,1,14647763,43943289,1,1
0x5c60Ed51324fbD379737a9d58213BFE553Dd04d4,1,1,14596004,43788013,1,1
0x27809ceE45A09E82Db1Cd04210b0813a78C22b4a,1,1,14592425,43777275,1,1
0x34c2d61758dDeC15B48265B29b42830496c101a4,1,1,14377696,43133090,1,1
0x48C0D78b1Eb6BCD813fA73BCE5F72d06B853961F,1,1,14275516,42826548,1,1
0x297123Df442d7ED592013D25039981988fe0e616,1,1,14223557,42670672,1,1
0x6488B1A657282646f2037B90756ae4211Ba96D7E,1,1,14067004,42201013,1,1
0x45f51421D13987D8859d0aA2fD68642B19694a70,1,1,14065774,42197322,1,1
0xE8Cf68a717a7F17Ee46F9c768A0ac26E68A66f3b,1,1,13937767,41813302,1,1
0x24F9221eEf973531ADE4401F6F61b6199Ade7c0A,1,1,13890064,41670194,1,1
0x1872222c66f295545ef1F2Ed71371C327258b305,1,1,13769322,41307967,1,1
0xb17f83787ED7C571d0401D4E14F362B6549982aD,1,1,13551050,40653150,1,1
0x304F1c2322C7d52Aea3820762e83270548c5bAd8,1,1,13373439,40120318,1,1
0x1AdAe3F41A3dbCFBcfF95a45283275b72Dc014eB,1,1,13289649,39868949,1,1
0xcB0427B62cBf88eCbb23B2Cc52Dbf68F31710754,1,1,13241888,39725665,1,1
0xa32E955C754350b75bBe799F8Dcc5Bd09554A81c,1,1,13128852,39386556,1,1
0x74Eb71dF91EEE286FC1A116647ae498877b274A7,1,1,13119368,39358105,1,1
0xfFC19D92af29b8acE47faFCC930B5De78DB43acb,1,1,12889369,38668107,1,1
0x96f7DA4Ba74F1773F7DFCc84F44D0750AB2463a6,1,1,12725392,38176177,1,1
0xaeb27dF2822C962c7A2C55B214f4Ed9DBFCF5cDC,1,1,12717050,38151152,1,1
0xdAa3630aE08db9F85B7059cB267061CE7FD0F5c6,1,1,12696593,38089780,1,1
0x2C26c77D0dfd04D8AeAac6D894B3dc0E6Ddd929D,1,1,12643898,37931696,1,1
0x75CFcB12f51D3f23570D4d38648D6F52Ca6181D0,1,1,12635327,37905982,1,1
0x0420b7D5A318264B46cb45aB30De9b8A8dD5854d,1,1,12541317,37623953,1,1
0x216572fb901676D16dFB7CFB1Dffb2799932c2aE,1,1,12258594,36775784,1,1
0x74bFD529981C915eF6384bCdd774689FFdc2d74d,1,1,11959131,35877393,1,1
0xf71FF867954c150787ec5846EC5E2915A063C2d6,1,1,11813555,35440665,1,1
0x0b48b17D07bCEdC186312279178Af20307D1034d,1,1,11791543,35374631,1,1
0xAba19F6bB8676F897AdCBbA7C9905fD536Ef52AA,1,1,11712228,35136684,1,1
0x5b1e113e42cf8a563b76B86fa49F7cc812cc091D,1,1,11663065,34989197,1,1
0xef704d67359aF3D8532874D0b84294F2E476326e,1,1,11627537,34882613,1,1
0xc120e1b984A921DB03d613d98060c7A60562b9D0,1,1,11580906,34742720,1,1
0xbD44923F0BaE4c06A4170A294C66f0aFdB232726,1,1,11553120,34659360,1,1
0x79Ef17F3A5DDf966C914B3De0DFC629fAa820bfB,1,1,11236164,33708492,1,1
0x555e7491DB2cB63c21085d46809359aA7574592e,1,1,11162429,33487288,1,1
0xc9bb40869f25A97C57ACbfCFA5EdFD155e1b26eF,1,1,11128751,33386254,1,1
0x51C51e651DF6DB7F1A6F54a8d6AD4Bf89B73412c,1,1,10962153,32886460,1,1
0xd05d450183E4CfD23Eab819d3E189a803da9f44f,1,1,10582436,31747308,1,1
0x97361048f2DCf9a0b3cd0b2cbA6642a8a8DA9679,1,1,10159973,30479920,1,1
0x25901ba6353a1757e11541fF57421B8cFb806b48,1,1,9873912,29621736,1,1
0x87EF1c1DD0a5DC62809CB9e86CdF0aE65Bd4BfD5,1,1,9787381,29362144,1,1
0xC8A2D46156DDF76F7EBeB4A2db15CBdca721bBCb,1,1,9786802,29360406,1,1
0x4BbA32dEaCF427C61f302a3844A47802121268Ff,1,1,9712060,29136182,1,1
0x6ae38C93dC96d10f6Ff2060C0A454A27FF9C805c,1,1,9661638,28984916,1,1
0x89381eFFCBF2A5F806c216847D6f0E16FD748e48,1,1,9546059,28638177,1,1
0xc1685f00509761557b4e3F4bf62365cd6C841257,1,1,9507328,28521986,1,1
0x5fD3c662dE5e9c84F1784567a51D4aaA01040682,1,1,9351917,28055753,1,1
0x45483Dff8894877beD0942965d27A8c535B8013B,1,1,9267510,27802530,1,1
0x246588bEe7f10dbc6F0E36a78F3176Dc46C92d81,1,1,8667377,26002132,1,1
0x6E56147a2824D36487c36a502A498ac7cC31A431,1,1,8642275,25926825,1,1
0xaDdc193Ed148363CC16e4C7288C2238e6c3Fb58c,1,1,8550956,25652868,1,1
0x1cc529F8b1e3682a74B83e3F934FFA9641dcf393,1,1,8503424,25510273,1,1
0x1e3Af65c201843F61C37E76340F6743416885696,1,1,8490955,25472867,1,1
0x57655580b219b13A3491829cb6d83936BFedA823,1,1,8490196,25470589,1,1
0x94A28566001E177B6b33f00dFa4Ec0dC4A12657E,1,1,8487506,25462518,1,1
0x2730FFACF76285aa26e5581ED1e1786358907Cb6,1,1,8460631,25381895,1,1
0x184e51EF4dC4Fee7053cCF3F682F6db1Df056a3B,1,1,8350032,25050098,1,1
0xc7993B71232211F5d6355FeA518593d816DBA372,1,1,8317395,24952185,1,1
0xEa0CCA8aF247fC6aa249229e2AC0d1Dac9EfD312,1,1,8208585,24625757,1,1
0x311bCA6E058D5bcca74CD66922369fAA70aff149,1,1,8167459,24502377,1,1
0xf4589fA9a2251aF914c6212fdfA3ffE1F5DeD291,1,1,8023510,24070530,1,1
0xd98dC2d8Cf05a6B2887FD4885Ef9BdFeaE514BEA,1,1,7968349,23905047,1,1
0x71F5AeFcBbfFAB78b33a275b5725e56204e0F75B,1,1,7964540,23893620,1,1
0xbf95665f96f879820B5b8c8602e4a503012583EE,1,1,7771688,23315064,1,1
0x32fEbe3C6406944BBE80EdD5Fe9bEC269715d54b,1,1,7771658,23314975,1,1
0x51D30a37b3cE0538e9Ef0ca5A250E25f0DF09756,1,1,7768376,23305129,1,1
0x67Ec525Cd39dc33C5D0F642AAAdC77dd6166Bbf6,1,1,7731179,23193538,1,1
0x9ec144dF63f1e731d70F6eb7Cd13C80137151189,1,1,7673681,23021043,1,1
0x43F533dbabCe0171897E72Ce3D405483B37728D5,1,1,7672662,23017988,1,1
0x985d2CF60F603CF603999c57ca76705CcAc07f38,1,1,7636128,22908384,1,1
0x4c79EF357776159129bDa04A3e3D0e14f2805833,1,1,7616642,22849926,1,1
0x59FDC0667dE0547a681E1315343526dEaDEF66e6,1,1,7551031,22653094,1,1
0x33c488867120e5d2a60d12d18f201C490A0544F1,1,1,7433214,22299644,1,1
0x258302D09995A71B185097738a46Ec2095b9197f,1,1,7425567,22276703,1,1
0x0532315C8f7c6724274b2cA720b347a9520bB1bb,1,1,7425291,22275873,1,1
